Group,Subgroup,Week,Time Period Label,Time Period Start Date,Time Period End Date,Value
,Some college/Associates degree,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,49.2
,Bachelors degree or higher,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,48.4
,18 - 29 years,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,41.8
,30 - 39 years,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,46.4
,40 - 49 years,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,47.8
,50 - 59 years,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,50.2
,60 - 69 years,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,44.8
,70 - 79 years,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,41
,80 years and above,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,37.3
,Male,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,42.2
,Female,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,48.6
,Hispanic or Latino,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,46.8
,"Non-Hispanic White, single race",8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,45.5
,"Non-Hispanic Black, single race",8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,43.8
,"Non-Hispanic Asian, single race",8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,40.4
,"Non-Hispanic, other races and multiple races",8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,51.9
,Less than a high school diploma,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,42.8
,High school diploma or GED,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,41.9
,Some college/Associates degree,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,48.8
,Bachelors degree or higher,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,46.4
,18 - 29 years,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,42.2
